Region	Category 	Frequency	RTE_Type
Known-Enhancer	Reference 	3.2998	L1
Enhancer-free	Reference 	96.7002	L1
Known-Enhancer	Non-reference 	8.81402	L1
Enhancer-free	Non-reference 	91.1860	L1
Known-Enhancer	Reference 	15.3781	Alu
Enhancer-free	Reference 	84.6219	Alu
Known-Enhancer	Non-reference 	12.1160	Alu
Enhancer-free	Non-reference 	87.8840	Alu
Known-Enhancer	Reference 	6.4677	SVA
Enhancer-free	Reference 	93.5323	SVA
Known-Enhancer	Non-reference 	15.8898	SVA
Enhancer-free	Non-reference 	84.1102	SVA
