EID	L1	Alu	SVA
E001	1788	4409	349
E002	2761	7244	418
E003	488	1437	132
E004	691	1935	137
E005	1074	3577	362
E006	1148	4019	342
E007	1422	4558	397
E008	1047	3245	326
E009	433	1495	133
E010	384	1250	101
E011	2109	4983	373
E012	872	2020	146
E013	247	858	92
E014	1421	2897	237
E015	883	1781	181
E016	1052	1820	158
E017	113	447	75
E018	1231	3058	267
E019	1463	3073	245
E020	1362	3159	230
E021	914	2750	219
E022	369	1346	127
E023	1231	3318	243
E024	1625	4746	328
E025	1294	3470	240
E026	656	2045	165
E027	760	2541	236
E028	2293	7112	461
E029	119	439	41
E030	267	1022	108
E031	313	1078	91
E032	668	1968	127
E033	580	1638	117
E034	430	1431	120
E035	446	1264	114
E036	593	1747	159
E037	1884	5084	288
E038	1567	4413	280
E039	886	2527	216
E040	2443	7446	381
E041	1234	3247	226
E042	1651	4617	303
E043	789	2428	215
E044	542	1721	156
E045	1646	4756	282
E046	1131	3688	214
E047	1517	4696	272
E048	1765	4947	311
E049	596	1816	147
E050	773	2376	175
E051	309	1258	127
E052	790	2204	166
E053	289	971	90
E054	190	774	80
E055	370	1708	219
E056	518	2512	317
E057	169	741	90
E058	189	847	109
E059	436	2052	242
E061	405	1570	149
E062	1358	4288	235
E063	1218	2895	195
E065	1039	2286	132
E066	1749	4462	280
E067	1501	4553	277
E068	1336	3776	250
E069	1372	3989	261
E070	238	1077	111
E071	1180	3308	208
E072	1389	4054	264
E073	1431	4221	309
E074	1815	5082	306
E075	885	2649	227
E076	1928	5636	377
E077	1158	2993	232
E078	1573	3850	287
E079	897	2737	236
E080	251	937	83
E081	543	1457	80
E082	146	671	82
E083	2260	5665	319
E084	400	1442	105
E085	516	1718	131
E086	582	1752	148
E087	126	473	57
E088	1997	5537	316
E089	234	849	61
E090	260	909	74
E091	287	1031	71
E092	464	1342	91
E093	875	2682	183
E094	1257	3812	321
E095	909	2345	145
E096	2095	6534	466
E097	1201	2944	180
E098	691	2179	176
E099	2260	7462	514
E100	1019	2225	136
E101	1108	3309	257
E102	1301	3478	236
E103	1171	3657	283
E104	581	1382	102
E105	867	2500	182
E106	2679	7860	508
E107	473	1599	146
E108	923	2730	191
E109	1757	5292	354
E110	2083	6567	417
E111	570	2095	188
E112	216	932	91
E113	1927	6463	547
E114	856	2543	198
E115	533	1434	132
E116	497	1741	144
E117	878	3035	298
E118	164	719	87
E119	518	1867	142
E120	222	759	101
E121	1016	3123	246
E122	284	833	71
E123	403	1353	119
E124	743	1951	167
E125	1301	3386	218
E126	537	1725	123
E127	605	1979	191
E128	204	792	77
E129	553	2098	178
