EID	P.val.x	Eid_id.x	GROUP.x	ANATOMY.x	GR.x	Epigenome.Mnemonic.x	Standardized.Epigenome.name..from.Wouter..x	Epigenome.name..from.EDACC.Release.9.directory..x	TYPE.x	P.val.y	Eid_id.y	GROUP.y	ANATOMY.y	GR.y	Epigenome.Mnemonic.y	Standardized.Epigenome.name..from.Wouter..y	Epigenome.name..from.EDACC.Release.9.directory..y	TYPE.y	P.val	Eid_id	GROUP	ANATOMY	GR	Epigenome.Mnemonic	Standardized.Epigenome.name..from.Wouter.	Epigenome.name..from.EDACC.Release.9.directory.	TYPE
E001	0.000999000999000999	1	ESC	ESC	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	PrimaryCulture	0.000999000999000999	1	ESC	ESC	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	PrimaryCulture	0.000999000999000999	1	ESC	ESC	ESC	ESC.I3	ES-I3 Cells	ES-I3_Cell_Line	PrimaryCulture
E002	0.000999000999000999	2	ESC	ESC	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	PrimaryCulture	0.000999000999000999	2	ESC	ESC	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	PrimaryCulture	NA	NA	NA	NA	NA	NA	NA	NA	NA
E003	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026973026973027	3	ESC	ESC	ESC	ESC.H1	H1 Cells	H1_Cell_Line	PrimaryCulture	0.000999000999000999	3	ESC	ESC	ESC	ESC.H1	H1 Cells	H1_Cell_Line	PrimaryCulture
E004	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	4	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESCDerived	NA	NA	NA	NA	NA	NA	NA	NA	NA
E005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	5	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESCDerived
E006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.033966033966034	6	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESCDerived
E007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012987012987013	7	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	ESCDerived
E008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	8	ESC	ESC	ESC	ESC.H9	H9 Cells	H9_Cell_Line	PrimaryCulture
E009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028971028971029	9	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells	ESCDerived
E010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027972027972028	10	ES-deriv	ESC_DERIVED	ES-deriv	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells	H9_Derived_Neuron_Cultured_Cells	ESCDerived
