EID	SVA	Pval_SVA	Alu	Pval_Alu	L1	Pval_L1
E001	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E003	SVA	0.000999000999000999	Alu	0.026973026973027	NA	NA
E005	SVA	0.000999000999000999	NA	NA	NA	NA
E006	SVA	0.033966033966034	NA	NA	NA	NA
E007	SVA	0.012987012987013	NA	NA	NA	NA
E008	SVA	0.000999000999000999	NA	NA	NA	NA
E009	SVA	0.028971028971029	NA	NA	NA	NA
E010	SVA	0.027972027972028	NA	NA	NA	NA
E011	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E013	SVA	0.001998001998002	NA	NA	NA	NA
E014	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E015	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E016	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E017	SVA	0.000999000999000999	NA	NA	NA	NA
E018	SVA	0.000999000999000999	NA	NA	L1	0.004995004995005
E019	SVA	0.003996003996004	Alu	0.015984015984016	L1	0.000999000999000999
E020	SVA	0.001998001998002	Alu	0.000999000999000999	L1	0.000999000999000999
E023	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E025	SVA	0.021978021978022	Alu	0.000999000999000999	L1	0.000999000999000999
E026	SVA	0.002997002997003	Alu	0.012987012987013	NA	NA
E027	SVA	0.000999000999000999	Alu	0.021978021978022	NA	NA
E028	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.004995004995005
E030	SVA	0.002997002997003	NA	NA	NA	NA
E031	SVA	0.013986013986014	NA	NA	NA	NA
E035	SVA	0.000999000999000999	Alu	0.02997002997003	NA	NA
E036	SVA	0.00599400599400599	NA	NA	NA	NA
E039	SVA	0.000999000999000999	Alu	0.003996003996004	NA	NA
E041	SVA	0.00899100899100899	Alu	0.000999000999000999	L1	0.000999000999000999
E043	SVA	0.000999000999000999	NA	NA	NA	NA
E044	SVA	0.000999000999000999	NA	NA	NA	NA
E049	SVA	0.00599400599400599	Alu	0.016983016983017	NA	NA
E051	SVA	0.001998001998002	NA	NA	NA	NA
E052	SVA	0.036963036963037	Alu	0.010989010989011	NA	NA
E055	SVA	0.000999000999000999	NA	NA	NA	NA
E056	SVA	0.000999000999000999	NA	NA	NA	NA
E057	SVA	0.00799200799200799	NA	NA	NA	NA
E058	SVA	0.000999000999000999	NA	NA	NA	NA
E059	SVA	0.000999000999000999	NA	NA	NA	NA
E061	SVA	0.000999000999000999	NA	NA	NA	NA
E070	SVA	0.045954045954046	NA	NA	NA	NA
E075	SVA	0.00599400599400599	NA	NA	NA	NA
E077	SVA	0.002997002997003	Alu	0.00999000999000999	L1	0.016983016983017
E078	SVA	0.002997002997003	Alu	0.000999000999000999	L1	0.000999000999000999
E082	SVA	0.010989010989011	NA	NA	NA	NA
E086	SVA	0.00699300699300699	NA	NA	NA	NA
E087	SVA	0.003996003996004	NA	NA	NA	NA
E099	SVA	0.000999000999000999	Alu	0.000999000999000999	NA	NA
E101	SVA	0.000999000999000999	Alu	0.000999000999000999	NA	NA
E103	SVA	0.018981018981019	NA	NA	NA	NA
E104	SVA	0.021978021978022	Alu	0.000999000999000999	L1	0.000999000999000999
E105	SVA	0.046953046953047	Alu	0.001998001998002	NA	NA
E111	SVA	0.048951048951049	NA	NA	NA	NA
E112	SVA	0.00599400599400599	NA	NA	NA	NA
E113	SVA	0.003996003996004	NA	NA	NA	NA
E114	SVA	0.001998001998002	Alu	0.000999000999000999	NA	NA
E115	SVA	0.000999000999000999	NA	NA	NA	NA
E116	SVA	0.001998001998002	Alu	0.010989010989011	NA	NA
E117	SVA	0.000999000999000999	NA	NA	NA	NA
E118	SVA	0.001998001998002	NA	NA	NA	NA
E119	SVA	0.00899100899100899	Alu	0.000999000999000999	NA	NA
E120	SVA	0.000999000999000999	NA	NA	NA	NA
E121	SVA	0.000999000999000999	Alu	0.000999000999000999	NA	NA
E122	SVA	0.011988011988012	Alu	0.03996003996004	NA	NA
E123	SVA	0.000999000999000999	Alu	0.000999000999000999	NA	NA
E124	SVA	0.000999000999000999	Alu	0.000999000999000999	L1	0.000999000999000999
E127	SVA	0.000999000999000999	NA	NA	NA	NA
E128	SVA	0.013986013986014	NA	NA	NA	NA
E129	SVA	0.002997002997003	NA	NA	NA	NA
