Region	Frequency 	Category	RTE_Type
Cold	48.38	Reference	L1
Intermediate	50.44	Reference	L1
Hot	1.18	Reference	L1
Cold	44.80	Non-reference	L1
Intermediate	53.76	Non-reference	L1
Hot	1.44	Non-reference	L1
Cold	39.44	Reference	Alu
Intermediate	58.63	Reference	Alu
Hot	1.93	Reference	Alu
Cold	42.77	Non-reference	Alu
Intermediate	55.46	Non-reference	Alu
Hot	1.77	Non-reference	Alu
Cold	48.61	Reference	SVA
Intermediate	50.21	Reference	SVA
Hot	1.18	Reference	SVA
Cold	40.14	Non-reference	SVA
Intermediate	58.46	Non-reference	SVA
Hot	1.40	Non-reference	SVA
