Chromosome	ChrLength	ChrLength_Mb	Genes/chr	Genes_Density/Mbp	Total Ref_L1	RefL1/chr_Freq	Ref_L1/Mb	Total nonRef_L1	NonRefL1/chr_Freq	Nonref_L1/Mb	Total Ref_Alu	RefAlu/chr_Freq	Ref_Alu/Mb	Total nonRef_Alu	NonRefAlu/chr_Freq	Nonref_Alu/Mb	Total Ref_SVA	RefSVA/chr_Freq	Ref_SVA/Mb	Total nonRef_SVA	NonrefSVA/chr_Freq	Nonref_SVA/Mb
1	249250621	249.251	2762	11.081	2641	6.884	10.596	751	7.355	3.013	27842	9.051	111.703	2099	7.578	8.421	94	9.353	0.377	204	10.805	0.818
2	243199373	243.199	1793	7.373	2983	7.775	12.266	849	8.315	3.491	21589	7.018	88.771	2320	8.376	9.540	66	6.567	0.271	151	7.998	0.621
3	198022430	198.022	1551	7.832	2780	7.246	14.039	726	7.110	3.666	17233	5.602	87.026	1947	7.029	9.832	61	6.070	0.308	109	5.773	0.550
4	191154276	191.154	1079	5.645	3035	7.911	15.877	808	7.913	4.227	13871	4.509	72.565	1957	7.065	10.238	58	5.771	0.303	81	4.290	0.424
5	180915260	180.915	1297	7.169	2807	7.316	15.516	675	6.611	3.731	14194	4.614	78.457	1773	6.401	9.800	58	5.771	0.321	101	5.350	0.558
6	171115067	171.115	1446	8.450	2334	6.084	13.640	654	6.405	3.822	14775	4.803	86.345	1814	6.549	10.601	62	6.169	0.362	108	5.720	0.631
7	159138663	159.139	1315	8.263	1915	4.991	12.034	590	5.778	3.707	19350	6.290	121.592	1672	6.036	10.507	45	4.478	0.283	88	4.661	0.553
8	146364022	146.364	1012	6.914	2097	5.466	14.327	512	5.014	3.498	13267	4.313	90.644	1406	5.076	9.606	41	4.080	0.280	70	3.708	0.478
9	141213431	141.213	1107	7.839	1578	4.113	11.175	427	4.182	3.024	11827	3.845	83.753	1138	4.108	8.059	44	4.378	0.312	71	3.761	0.503
10	135534747	135.535	1081	7.976	1500	3.910	11.067	456	4.466	3.364	15407	5.009	113.675	1278	4.614	9.429	54	5.373	0.398	98	5.191	0.723
11	135006516	135.007	1664	12.325	1990	5.187	14.740	541	5.298	4.007	12709	4.132	94.136	1261	4.553	9.340	49	4.876	0.363	103	5.456	0.763
12	133851895	133.852	1379	10.302	1759	4.585	13.141	472	4.622	3.526	16451	5.348	122.904	1393	5.029	10.407	51	5.075	0.381	92	4.873	0.687
13	115169878	115.170	 623	5.409	1214	3.164	10.541	374	3.663	3.247	7134	2.319	61.943	1058	3.820	9.186	22	2.189	0.191	53	2.807	0.460
14	107349540	107.350	 923	8.598	1143	2.979	10.647	347	3.398	3.232	9780	3.179	91.104	871	3.145	8.114	36	3.582	0.335	69	3.655	0.643
15	102531392	102.531	 987	9.626	849	2.213	8.280	264	2.585	2.575	10034	3.262	97.863	825	2.978	8.046	24	2.388	0.234	75	3.972	0.731
16	90354753	90.355	1130	12.506	650	1.694	7.194	264	2.585	2.922	14686	4.774	162.537	675	2.437	7.471	23	2.289	0.255	63	3.337	0.697
17	81195210	81.195	1552	19.114	494	1.288	6.084	197	1.929	2.426	14131	4.594	174.038	769	2.776	9.471	36	3.582	0.443	92	4.873	1.133
18	78077248	78.077	 431	5.520	908	2.367	11.630	265	2.595	3.394	6543	2.127	83.802	802	2.895	10.272	26	2.587	0.333	25	1.324	0.320
19	59128983	59.129	1769	29.918	348	0.907	5.885	145	1.420	2.452	15069	4.899	254.850	542	1.957	9.166	40	3.980	0.676	86	4.555	1.454
20	63025520	63.026	 772	12.249	535	1.394	8.489	182	1.782	2.888	7859	2.555	124.695	522	1.885	8.282	20	1.990	0.317	68	3.602	1.079
21	48129895	48.130	 375	7.791	395	1.030	8.207	168	1.645	3.491	2960	0.962	61.500	446	1.610	9.267	10	0.995	0.208	13	0.689	0.270
22	51304566	51.305	 642	12.513	184	0.480	3.586	51	0.499	0.994	5998	1.950	116.909	310	1.119	6.042	14	1.393	0.273	41	2.172	0.799
X	155270560	155.271	1152	7.419	3525	9.188	22.702	438	4.289	2.821	12562	4.084	80.904	727	2.625	4.682	62	6.169	0.399	25	1.324	0.161
Y	59373566	59.374	 141	2.375	702	1.830	11.823	55	0.539	0.926	2341	0.761	39.428	94	0.339	1.583	9	0.896	0.152	2	0.106	0.034
