Chromosome	Total Ref_L1	Total nonRef_L1	Total Ref_Alu	Total nonRef_Alu	Total Ref_SVA	Total nonRef_SVA
Total	0	0	0	0	0	0
Y	702	55	2341	94	9	2
22	184	51	5998	310	14	41
21	395	168	2960	446	10	13
20	535	182	7859	522	20	68
19	348	145	15069	542	40	86
16	650	264	14686	675	23	63
X	3525	438	12562	727	62	25
17	494	197	14131	769	36	92
18	908	265	6543	802	26	25
15	849	264	10034	825	24	75
14	1143	347	9780	871	36	69
13	1214	374	7134	1058	22	53
9	1578	427	11827	1138	44	71
11	1990	541	12709	1261	49	103
10	1500	456	15407	1278	54	98
12	1759	472	16451	1393	51	92
8	2097	512	13267	1406	41	70
7	1915	590	19350	1672	45	88
5	2807	675	14194	1773	58	101
6	2334	654	14775	1814	62	108
3	2780	726	17233	1947	61	109
4	3035	808	13871	1957	58	81
1	2641	751	27842	2099	94	204
2	2983	849	21589	2320	66	151
